lead_date,dimension,daily_leads,cumulative_actual,landing_forecast,monthly_target,achievement_pct
2026-03-01,DIS,44,44,,966,
2026-03-02,DIS,28,72,1512.00,966,1.57
2026-03-03,DIS,24,96,1008.00,966,1.04
2026-03-01,FAX・EDM,0,0,,283,
2026-03-02,FAX・EDM,2,2,42.00,283,0.15
2026-03-03,FAX・EDM,47,49,514.50,283,1.82
2026-03-01,LIS,23,23,,400,
2026-03-02,LIS,13,36,756.00,400,1.89
2026-03-03,LIS,17,53,556.50,400,1.39
2026-03-01,TOP,3,3,,335,
2026-03-02,TOP,11,14,294.00,335,0.88
2026-03-03,TOP,15,29,304.50,335,0.91
2026-03-01,その他,1,1,,90,
2026-03-02,その他,2,3,63.00,90,0.70
2026-03-03,その他,2,5,52.50,90,0.58
2026-03-01,全体,72,72,,2074,
2026-03-02,全体,56,128,2688.00,2074,1.30
2026-03-03,全体,105,233,2446.50,2074,1.18
