created_date,f_initial_deal_acquisition_date,first_meeting_date,business_meeting_scheduled_date,inflow_route_media_lasttouch,cv_content_sub_lasttouch,stage_name,reasons_not_negotiated,scheduled_initialdead_interval_days,scheduled_initialdead_interval_days_category
2025-06-11T17:04:27.000Z,2026-02-06,2026-02-12,2026-02-12,,,04_稟議用資料提案フェーズ,,6,1週間
2025-06-16T16:17:21.000Z,2025-11-05,2025-11-14,2025-11-13,,,99_失注,,8,2週間以内
2025-06-29T22:50:20.000Z,2025-09-29,2025-09-29,2025-09-29,,LC_デモ電話_Facebook_0800-111-3892,06_有料契約申請完了,,0,1日以内
2025-07-04T04:29:42.000Z,2025-11-17,,,,LC_デモ電話_Facebook_0800-111-3892,99_失注,,,その他
2025-07-08T10:43:50.000Z,2025-10-08,2025-10-21,2025-10-21,LIS,LC_デモ電話_AILP_PC_Bパターン_0800-111-3862,99_失注,,13,2週間以内
2025-07-23T22:53:32.000Z,2025-09-17,,2025-09-17,DIS,LC_デモ電話_Dis広告_LINE風_0800-111-3956,99_失注,,0,1日以内
2025-07-25T07:56:02.000Z,2025-11-05,2025-11-11,2025-11-11,DIS,LC_デモ電話_Dis広告_LINE風_0800-111-3956,99_失注,,6,1週間
2025-07-26T05:04:34.000Z,2025-12-12,2025-12-15,2025-12-16,TOP,,99_失注,,4,1週間
2025-07-26T15:02:43.000Z,2025-12-02,2025-12-03,2025-12-03,DIS,LC_デモ電話_Dis広告_LINE風_0800-111-3956,06_有料契約申請完了,,1,3日以内
2025-07-28T20:28:49.000Z,2025-10-19,2025-10-22,2025-10-22,TOP,LC_デモ電話_TOPLP_PC_Aパターン_0800-170-7295,99_失注,,3,1週間
2025-07-29T11:04:18.000Z,2025-09-11,2025-09-17,2025-09-17,TOP,LC_デモ電話_TOPLP_PC_Aパターン_0800-170-7295,01_事前設計フェーズ,他進行中（重複/別担当/別商談/直近対応済）,6,1週間
2025-08-03T00:46:25.000Z,2025-10-15,2025-10-17,2025-10-17,DIS,LC_デモ電話_Dis広告_LINE風_0800-111-3956,06_有料契約申請完了,他進行中（重複/別担当/別商談/直近対応済）,2,3日以内
2025-08-03T09:09:37.000Z,2025-09-13,,2025-09-30,LIS,LC_デモ電話_IP電話LP_PC_Aパターン_0800-170-7364,99_失注,,17,2週間以上
2025-08-04T14:51:14.000Z,2025-12-25,2025-12-25,2025-12-25,TOP,LC_デモ電話_TOPLP_SP_Aパターン_0800-170-8372,99_失注,,0,1日以内
2025-08-11T09:04:24.000Z,2025-09-23,2025-09-29,2025-09-29,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,06_有料契約申請完了,,6,1週間
2025-08-15T08:21:31.000Z,2025-09-18,2025-09-19,2025-09-19,DIS,LC_デモ電話_Facebook_0800-111-3892,06_有料契約申請完了,,1,3日以内
2025-08-15T16:00:50.000Z,2025-09-02,2025-09-03,2025-09-03,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,,1,3日以内
2025-08-17T23:59:59.000Z,2025-10-10,2025-10-14,2025-10-14,DIS,LC_デモ電話_Facebook_0800-111-3892,99_失注,,4,1週間
2025-08-19T09:50:51.000Z,2025-09-12,2025-09-18,2025-09-18,FAX・EDM,LC_デモ電話_FAX_病院・クリニック_0800-111-4370,99_失注,,6,1週間
2025-08-19T14:26:38.000Z,2025-11-05,2025-11-06,2025-11-06,TOP,LC_デモ電話_TOPLP_PC_Aパターン_0800-170-7295,06_有料契約申請完了,,1,3日以内
2025-08-20T12:49:44.000Z,2025-09-17,2025-09-19,2025-12-01,FAX・EDM,LC_デモ電話_EDM_0800-111-3817,06_有料契約申請完了,,75,2週間以上
2025-08-22T07:15:55.000Z,2025-09-29,,2025-10-01,LIS,,99_失注,,2,3日以内
