lead_date,dimension,daily_leads,cumulative_actual,landing_forecast,monthly_target,achievement_pct
2026-03-01,DIS,44,44,,966,
2026-03-02,DIS,28,72,1512.00,966,1.57
2026-03-03,DIS,36,108,1134.00,966,1.17
2026-03-04,DIS,30,138,966.00,966,1.00
2026-03-01,FAX・EDM,0,0,,283,
2026-03-02,FAX・EDM,2,2,42.00,283,0.15
2026-03-03,FAX・EDM,50,52,546.00,283,1.93
2026-03-04,FAX・EDM,8,60,420.00,283,1.48
2026-03-01,LIS,23,23,,400,
2026-03-02,LIS,13,36,756.00,400,1.89
2026-03-03,LIS,21,57,598.50,400,1.50
2026-03-04,LIS,21,78,546.00,400,1.37
2026-03-01,TOP,3,3,,335,
2026-03-02,TOP,10,13,273.00,335,0.81
2026-03-03,TOP,15,28,294.00,335,0.88
2026-03-04,TOP,18,46,322.00,335,0.96
2026-03-01,その他,1,1,,90,
2026-03-02,その他,2,3,63.00,90,0.70
2026-03-03,その他,4,7,73.50,90,0.82
2026-03-04,その他,2,9,63.00,90,0.70
2026-03-01,全体,72,72,,2074,
2026-03-02,全体,55,127,2667.00,2074,1.29
2026-03-03,全体,126,253,2656.50,2074,1.28
2026-03-04,全体,79,332,2324.00,2074,1.12
