lead_date,dimension,daily_leads,cumulative_actual,landing_forecast,monthly_target,achievement_pct
2026-02-01,DIS,28,28,,817,
2026-02-02,DIS,23,51,918.00,817,1.12
2026-02-03,DIS,27,78,702.00,817,0.86
2026-02-04,DIS,23,101,606.00,817,0.74
2026-02-05,DIS,22,123,553.50,817,0.68
2026-02-06,DIS,21,144,518.40,817,0.63
2026-02-07,DIS,7,151,543.60,817,0.67
2026-02-08,DIS,25,176,633.60,817,0.78
2026-02-09,DIS,47,223,669.00,817,0.82
2026-02-10,DIS,35,258,663.43,817,0.81
2026-02-11,DIS,48,306,786.86,817,0.96
2026-02-12,DIS,44,350,787.50,817,0.96
2026-02-13,DIS,52,402,804.00,817,0.98
2026-02-14,DIS,53,455,910.00,817,1.11
2026-02-15,DIS,54,509,1018.00,817,1.25
2026-02-16,DIS,49,558,1004.40,817,1.23
2026-02-17,DIS,43,601,983.45,817,1.20
2026-02-18,DIS,46,647,970.50,817,1.19
2026-02-19,DIS,32,679,940.15,817,1.15
2026-02-20,DIS,42,721,927.00,817,1.13
2026-02-21,DIS,38,759,975.86,817,1.19
2026-02-22,DIS,30,789,1014.43,817,1.24
2026-02-23,DIS,42,831,1068.43,817,1.31
2026-02-24,DIS,33,864,1036.80,817,1.27
2026-02-25,DIS,25,889,1000.13,817,1.22
2026-02-26,DIS,33,922,976.24,817,1.19
2026-02-27,DIS,13,935,935.00,817,1.14
2026-02-01,FAX・EDM,2,2,,400,
2026-02-02,FAX・EDM,8,10,180.00,400,0.45
2026-02-03,FAX・EDM,3,13,117.00,400,0.29
2026-02-04,FAX・EDM,3,16,96.00,400,0.24
2026-02-05,FAX・EDM,5,21,94.50,400,0.24
2026-02-06,FAX・EDM,2,23,82.80,400,0.21
2026-02-07,FAX・EDM,1,24,86.40,400,0.22
2026-02-08,FAX・EDM,1,25,90.00,400,0.23
2026-02-09,FAX・EDM,2,27,81.00,400,0.20
2026-02-10,FAX・EDM,7,34,87.43,400,0.22
2026-02-11,FAX・EDM,2,36,92.57,400,0.23
2026-02-12,FAX・EDM,1,37,83.25,400,0.21
2026-02-13,FAX・EDM,4,41,82.00,400,0.21
2026-02-14,FAX・EDM,1,42,84.00,400,0.21
2026-02-15,FAX・EDM,0,42,84.00,400,0.21
2026-02-16,FAX・EDM,5,47,84.60,400,0.21
2026-02-17,FAX・EDM,49,96,157.09,400,0.39
